occurrence_id,occurrence_identifier
89092,taxa_inventory_occ_89092
89093,taxa_inventory_occ_89093
89094,taxa_inventory_occ_89094
89095,taxa_inventory_occ_89095
89096,taxa_inventory_occ_89096
89097,taxa_inventory_occ_89097
89098,taxa_inventory_occ_89098
89099,taxa_inventory_occ_89099
89100,taxa_inventory_occ_89100
89101,taxa_inventory_occ_89101
89102,taxa_inventory_occ_89102
89103,taxa_inventory_occ_89103
89104,taxa_inventory_occ_89104
89105,taxa_inventory_occ_89105
89106,taxa_inventory_occ_89106
89107,taxa_inventory_occ_89107
89108,taxa_inventory_occ_89108
89109,taxa_inventory_occ_89109
89110,taxa_inventory_occ_89110
89111,taxa_inventory_occ_89111
89112,taxa_inventory_occ_89112
89113,taxa_inventory_occ_89113
89114,taxa_inventory_occ_89114
89115,taxa_inventory_occ_89115
89116,taxa_inventory_occ_89116
89117,taxa_inventory_occ_89117
89118,taxa_inventory_occ_89118
89119,taxa_inventory_occ_89119
89120,taxa_inventory_occ_89120
89121,taxa_inventory_occ_89121
89122,taxa_inventory_occ_89122
89123,taxa_inventory_occ_89123
89124,taxa_inventory_occ_89124
89125,taxa_inventory_occ_89125
89126,taxa_inventory_occ_89126
89127,taxa_inventory_occ_89127
89128,taxa_inventory_occ_89128
89129,taxa_inventory_occ_89129
89130,taxa_inventory_occ_89130
89131,taxa_inventory_occ_89131
89132,taxa_inventory_occ_89132
89133,taxa_inventory_occ_89133
89134,taxa_inventory_occ_89134
89135,taxa_inventory_occ_89135
89136,taxa_inventory_occ_89136
89137,taxa_inventory_occ_89137
89138,taxa_inventory_occ_89138
89139,taxa_inventory_occ_89139
89140,taxa_inventory_occ_89140
89141,taxa_inventory_occ_89141
89142,taxa_inventory_occ_89142
89143,taxa_inventory_occ_89143
89144,taxa_inventory_occ_89144
89145,taxa_inventory_occ_89145
89146,taxa_inventory_occ_89146
89147,taxa_inventory_occ_89147
89148,taxa_inventory_occ_89148
89149,taxa_inventory_occ_89149
89150,taxa_inventory_occ_89150
89151,taxa_inventory_occ_89151
89152,taxa_inventory_occ_89152
89153,taxa_inventory_occ_89153
89154,taxa_inventory_occ_89154
89155,taxa_inventory_occ_89155
89156,taxa_inventory_occ_89156
