"","X","Y","Presence","alizes","altitude","cti","ensoleillement","pente","substrat"
"423",168.050655581683,-21.4660406997206,0,0.0238815050550593,0.024906600249066,0.380540693166734,0.825575168647182,0.00661108249005783,0
"426",165.77765483578,-21.3554088523022,0,0.0320411650115436,0.25653798256538,0.237365966561705,0.67923453224907,0.282334659462171,0.00392156862745098
"428",165.13926484488,-21.1444062402346,0,0.491319641807155,0.465130759651308,0.227528018485586,0.884539652675796,0.152774658472092,0.00784313725490196
"432",164.928265731337,-20.9756053584844,0,0.489789021196264,0.372976338729763,0.312716115095689,0.736564163414119,0.223572369081412,0.00784313725490196
"435",164.355503518439,-20.5918900677685,0,0.417462093795674,0.261519302615193,0.319558326944836,0.84140592833838,0.290496737218908,0.00392156862745098
"448",165.145374854416,-21.1168090303817,0,0.462350705751627,0.245952677459527,0.349903922553632,0.833390114725917,0.0398921882538058,0.00784313725490196
"453",166.877252893765,-22.1303246026179,0,0.109992949141709,0.283312577833126,0.278443320947677,0.840928964640674,0.0612802818779248,0.00392156862745098
"473",165.805753326999,-21.637175914793,0,0.365477558362717,0.105853051058531,0.288095529980873,0.679736894473184,0.276161281441652,0.00784313725490196
"482",165.560793801639,-21.3636553203303,0,0.194824516495674,0.270859277708593,0.222994253062643,0.842313764499319,0.186237962453835,0.00784313725490196
"487",166.304940975511,-21.7096135935152,0,0.0850790131923793,0.206724782067248,0.231902513585686,0.832477379356838,0.368614692681448,0.00392156862745098
"491",166.20461318043,-21.7154958440498,0,0.188627049214154,0.566002490660025,0.253435284914494,0.87087763060886,0.36813924216133,0.00392156862745098
"492",166.602760887754,-21.925476866733,0,0.0319386575328687,0.0062266500622665,0.54642300533672,0.825488916798618,0.0265107346317946,0.00784313725490196
"507",165.116512700884,-21.3250768953112,0,0.714056002105023,0.00684931506849315,0.36745533656342,0.819357686738314,0.00742713426090222,0.00784313725490196
"511",167.962935904843,-21.5078434794007,0,0.114482815912732,0.0367372353673724,0.491502071430202,0.827117452262213,0.00744239485497544,0
"513",165.014573946389,-21.0372814598344,0,0.524615881191662,0.136986301369863,0.363691663952367,0.735599728506513,0.176729065940933,0.00784313725490196
"525",165.603328343114,-21.3916679673723,0,0.214240926188067,0.283312577833126,0.363532317295795,0.735465451525526,0.175280411028569,0.00784313725490196
"549",166.426168889386,-22.074035268117,0,0.444701990362543,0.557285180572852,0.220629682263148,0.789670612699482,0.202347265506543,0.00392156862745098
"552",165.219039492185,-21.1916022108367,0,0.411055766709582,0.208592777085928,0.260128550577468,0.771904085623718,0.221281444689281,0.00784313725490196
"563",165.612645196365,-21.6870593660823,0,0.646388781927089,0.0211706102117061,0.372395121083994,0.811454039206945,0.0558636803180644,0.00784313725490196
"570",166.56564522389,-20.6389193876493,0,0.0489579666169867,0.0037359900373599,0.399660879781325,0.822064757088558,0.00232317468323166,0
"589",165.425487375134,-21.6019658604408,0,0.71868043852883,0.0118306351183064,0.43186642299923,0.822663491893841,0.00432610081420712,0.00784313725490196
"590",165.244129119603,-20.9667075845087,0,0.148316460392103,0.148816936488169,0.228296164787419,0.797413037605097,0.162486449052766,0.00392156862745098
"616",165.869473133736,-21.5063735359995,0,0.118357603421301,0.269613947696139,0.262648231511647,0.729587948876247,0.261482335061872,0.00784313725490196
"634",166.380997158375,-21.758476865449,0,0.0980857943198497,0.248443337484433,0.245020350190136,0.853251311134463,0.217753699774939,0.00392156862745098
"638",164.606576333214,-20.7170595390033,0,0.457786438779523,0.089041095890411,0.416170071239978,0.836078039486457,0.0821741474576912,0.00784313725490196
"666",166.225092607453,-21.9959776175224,0,0.587786157053329,0.00933997509339975,0.445332341401986,0.822016667492871,0.0049334780341594,0.00784313725490196
"694",166.235466200287,-21.9860749462782,0,0.561864706057784,0.0155666251556663,0.487037197196506,0.821700990884185,0.0138629129973382,0
"697",165.260964314156,-21.3135672632181,0,0.494879736480362,0.37920298879203,0.210069578956135,0.778647781164749,0.180254229360915,0.00392156862745098
"712",166.659553498758,-22.1660511167894,0,0.318499440454363,0.129514321295143,0.43098587528336,0.853870609721279,0.121722043137378,0.00392156862745098
"714",166.113999683191,-21.5351478925324,0,0.0316911738650094,0.193026151930262,0.249794547771899,0.849208948713091,0.169240682285922,0.00392156862745098
"719",166.189378550859,-21.7577247565041,0,0.273543505842572,0.292029887920299,0.484058082638741,0.876875099394297,0.124307381266824,0.00392156862745098
"728",164.314567152714,-20.2545592971279,0,0.0263138781817039,0.099626400996264,0.281672810132295,0.851403278253556,0.0958611925926905,0.00784313725490196
"729",164.884492587048,-20.8149694679151,0,0.236450208141733,0.23785803237858,0.296265624273637,0.844578423461895,0.128589994993419,0.00784313725490196
"730",165.546149679943,-21.6970074638617,0,0.727055575003711,0.049813200498132,0.26858814053253,0.805526964306884,0.0513512613940707,0.00784313725490196
"732",166.969048665139,-22.3415653759134,0,0.0615298673234702,0.0305105853051059,0.315930509285654,0.821977538291018,0.0268334285449194,0.00392156862745098
"742",166.083035488616,-21.9815746772589,0,0.720090885310257,0.00560398505603985,0.310761551831097,0.825444888388625,0.0286334917497718,0.00784313725490196
"743",166.738751926813,-22.232747799546,0,0.376783912818069,0.0815691158156912,0.327953166815378,0.829908002540626,0.0138629129973382,0.00784313725490196
"788",167.240322691153,-20.7674936651978,0,0.0646622347798249,0.0161892901618929,0.399660879781325,0.825040639253835,0.00223610500695257,0
"790",164.864305711197,-20.7289946285574,0,0.122889969854197,0.127646326276463,0.242595685663511,0.840059870901998,0.154779435603332,0.00784313725490196
"794",166.443310548557,-22.0786457648165,0,0.429620037203264,0.559775840597758,0.217352828000494,0.773996369815695,0.366728683272357,0.00392156862745098
"816",164.85236009768,-21.0177214858224,0,0.620361408485703,0.224159402241594,0.197086643131961,0.760105309768228,0.42179765244977,0.00392156862745098
"817",165.687757040862,-21.7333044761941,0,0.640371561633603,0.0105853051058531,0.306258720651304,0.837312059768276,0.0351502417379653,0.00784313725490196
"818",166.671013842176,-22.0298350649192,0,0.0881513281244068,0.476961394769614,0.241305015912147,0.828442881453796,0.137448914884031,0.00392156862745098
"820",166.021615981294,-21.842898235952,0,0.549522677693019,0.0155666251556663,0.617853550537393,0.823254620033855,0.00736130140932129,0.00784313725490196
"825",165.294190581508,-20.9882156463163,0,0.120500056840461,0.0230386052303861,0.274137946038009,0.809042404000178,0.0965489900055168,0.00784313725490196
"835",165.314141240179,-21.2746708587056,0,0.372442303080819,0.145703611457036,0.23066060200289,0.772983522996077,0.226751953925489,0.00784313725490196
"849",166.003762860475,-21.5281088008282,0,0.0561101252834182,0.0404732254047323,0.282404010909922,0.791287802628438,0.20508374443631,0.00784313725490196
"850",168.079398427758,-21.5873530423783,0,0.0519277706312989,0.0348692403486924,0.375172638266907,0.828435145861997,0.00314133845101303,0
